SalesOrderId,SalesOrderDetailId,OrderQty,ProductId,PromotionId,UnitPrice,UnitPriceDiscount,LineTotal,Freight,Tax
43697,353,1,310,1,3578.27,0,3578.270000,89.46,286.26
43698,354,1,346,1,3399.99,0,3399.990000,85.00,272.00
43699,355,1,346,1,3399.99,0,3399.990000,85.00,272.00
43700,356,1,336,1,699.0982,0,699.098200,17.48,55.93
43701,357,1,346,1,3399.99,0,3399.990000,85.00,272.00
43702,358,1,311,1,3578.27,0,3578.270000,89.46,286.26
43703,359,1,310,1,3578.27,0,3578.270000,89.46,286.26
43704,360,1,351,1,3374.99,0,3374.990000,84.37,270.00
43705,361,1,344,1,3399.99,0,3399.990000,85.00,272.00
43706,362,1,312,1,3578.27,0,3578.270000,89.46,286.26
43707,363,1,312,1,3578.27,0,3578.270000,89.46,286.26
43708,364,1,330,1,699.0982,0,699.098200,17.48,55.93
43709,365,1,313,1,3578.27,0,3578.270000,89.46,286.26
43710,366,1,314,1,3578.27,0,3578.270000,89.46,286.26
43711,367,1,314,1,3578.27,0,3578.270000,89.46,286.26
43712,368,1,311,1,3578.27,0,3578.270000,89.46,286.26
43713,369,1,310,1,3578.27,0,3578.270000,89.46,286.26
43714,370,1,311,1,3578.27,0,3578.270000,89.46,286.26
43715,371,1,314,1,3578.27,0,3578.270000,89.46,286.26
43716,372,1,311,1,3578.27,0,3578.270000,89.46,286.26
43717,373,1,336,1,699.0982,0,699.098200,17.48,55.93
43718,374,1,311,1,3578.27,0,3578.270000,89.46,286.26
43719,375,1,312,1,3578.27,0,3578.270000,89.46,286.26
43720,376,1,311,1,3578.27,0,3578.270000,89.46,286.26
43721,377,1,310,1,3578.27,0,3578.270000,89.46,286.26
43722,378,1,312,1,3578.27,0,3578.270000,89.46,286.26
43723,379,1,332,1,699.0982,0,699.098200,17.48,55.93
43724,380,1,311,1,3578.27,0,3578.270000,89.46,286.26
43725,381,1,311,1,3578.27,0,3578.270000,89.46,286.26
43726,382,1,332,1,699.0982,0,699.098200,17.48,55.93
43727,383,1,311,1,3578.27,0,3578.270000,89.46,286.26
43728,384,1,313,1,3578.27,0,3578.270000,89.46,286.26
43729,385,1,346,1,3399.99,0,3399.990000,85.00,272.00
43730,386,1,346,1,3399.99,0,3399.990000,85.00,272.00
43731,387,1,314,1,3578.27,0,3578.270000,89.46,286.26
43732,388,1,350,1,3374.99,0,3374.990000,84.37,270.00
43733,389,1,312,1,3578.27,0,3578.270000,89.46,286.26
43734,390,1,312,1,3578.27,0,3578.270000,89.46,286.26
43735,391,1,310,1,3578.27,0,3578.270000,89.46,286.26
43736,392,1,346,1,3399.99,0,3399.990000,85.00,272.00
43737,393,1,311,1,3578.27,0,3578.270000,89.46,286.26
43738,394,1,312,1,3578.27,0,3578.270000,89.46,286.26
43739,395,1,310,1,3578.27,0,3578.270000,89.46,286.26
43740,396,1,312,1,3578.27,0,3578.270000,89.46,286.26
43741,397,1,310,1,3578.27,0,3578.270000,89.46,286.26
43742,398,1,314,1,3578.27,0,3578.270000,89.46,286.26
43743,399,1,347,1,3399.99,0,3399.990000,85.00,272.00
